,D,P,mode,ppn,time,"(P, ppn)"
147,256.0,4.0,1.0,1.0,0.027016,"(4.0, 1.0)"
148,2048.0,4.0,0.0,1.0,0.19424,"(4.0, 1.0)"
149,2048.0,4.0,1.0,1.0,0.18482,"(4.0, 1.0)"
150,16.0,4.0,0.0,8.0,0.294371,"(4.0, 8.0)"
151,16.0,4.0,1.0,8.0,0.284589,"(4.0, 8.0)"
152,256.0,4.0,0.0,8.0,0.921013,"(4.0, 8.0)"
153,256.0,4.0,1.0,8.0,0.758675,"(4.0, 8.0)"
154,2048.0,4.0,0.0,8.0,1.448876,"(4.0, 8.0)"
155,2048.0,4.0,1.0,8.0,2.50311,"(4.0, 8.0)"
156,16.0,16.0,0.0,1.0,0.750419,"(16.0, 1.0)"
157,16.0,16.0,1.0,1.0,0.512323,"(16.0, 1.0)"
158,256.0,16.0,0.0,1.0,0.844265,"(16.0, 1.0)"
159,256.0,16.0,1.0,1.0,0.890288,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,9.597408,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,18.553416,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,3.873011,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,2.723953,"(16.0, 8.0)"
